Consumer No,Previous Bill Date,Previous Reading,Current Bill Date,Current Reading,Consumed Unit,Power Factor,New Consumed Unit,MF,Billed Unit,Consumption Day,Due Date,Energy Breakup,Energy Charge,Subsidy,Total Energy Charge,Fixed Charge,Meter Rent,Electricity Duty,FPPPA,Current Demand,Principal Arrear,Arrear Surcharge,Current Surcharge,Total Arrear,Adjustment,Net Bill Amount,Net Bill Amount After Due Date
022000014596,03-05-2017,4077,22-08-2017,4077,0,0,0,1,0,111,06-09-2017,[["1"->"0"->"5.65"->"0.00"]],0.0,0.0,0.0,109.4,0.0,0.0,0.0,109.4,1.0,0.0,0.0,1.0,0,110.0,112.0
022000023897,03-05-2017,1076,22-08-2017,1076,0,0,0,1,0,111,06-09-2017,[["1"->"0"->"4.7"->"0.00"]],0.0,0.0,0.0,54.7,0.0,0.0,0.0,54.7,0.0,0.0,8.0,8.0,0,63.0,64.0
022000023986,03-06-2017,560,22-08-2017,-1,80,0,80,1,80,80,06-09-2017,[["1"->"80"->"4.7"->"376.00"]],376.0,104.8,271.2,39.43,0.0,8.0,0.0,318.63,0.0,256.0,69.0,325.0,0,644.0,649.0
022000014593,03-06-2017,1393,22-08-2017,-1,158,0,158,1,158,80,06-09-2017,[["1"->"158"->"5.65"->"892.70"]],892.7,159.58,733.12,78.85,0.0,15.8,0.0,827.77,0.0,4.0,18.0,22.0,0,850.0,862.0
022000024296,04-01-2017,1138,22-08-2017,-1,230,0,230,1,230,230,06-09-2017,[["1"->"230"->"4.7"->"1081.00"]],1081.0,301.3,779.7,113.35,0.0,23.0,0.0,916.05,136.0,2.0,16.0,154.0,0,1070.0,1086.0
022000014605,03-05-2017,597,22-08-2017,597,0,0,0,1,0,111,06-09-2017,[["1"->"0"->"5.65"->"0.00"]],0.0,0.0,0.0,109.4,0.0,0.0,0.0,109.4,56.0,1.0,3.0,60.0,0,169.0,171.0
022000014556,03-05-2017,3796,22-08-2017,3796,0,0,0,1,0,111,06-09-2017,[["1"->"0"->"5.65"->"0.00"]],0.0,0.0,0.0,109.4,0.0,0.0,0.0,109.4,7569.0,1348.0,341.0,9258.0,0,9367.0,9482.0
022000024679,03-05-2017,1431,22-08-2017,1431,0,0,0,1,0,111,06-09-2017,[["1"->"0"->"4.7"->"0.00"]],0.0,0.0,0.0,54.7,0.0,0.0,0.0,54.7,45.0,1.0,2.0,48.0,0,103.0,105.0
022000024521,03-06-2017,1152,22-08-2017,-1,80,0,80,1,80,80,06-09-2017,[["1"->"80"->"4.7"->"376.00"]],376.0,104.8,271.2,39.43,0.0,8.0,0.0,318.63,290.0,2.0,9.0,301.0,0,620.0,629.0
022000025134,28-02-2012,2,22-08-2017,2,0,0,0,1,0,2002,06-09-2017,[["1"->"0"->"4.7"->"0.00"]],0.0,0.0,0.0,986.61,0.0,0.0,0.0,986.61,3.0,0.0,2.0,5.0,0,992.0,1007.0
